Species	ID	Individuals	Cortex	Medulle	AxeCentral	BrancheDiam	AxeMedulle	AxeCortex	MedulleCortex
barbata	B1	1	3.0	35.0	24.0	1.3	0.7	8.0	11.7
barbata	B2	2	4.6	29.0	33.0	1.5	1.1	7.2	6.3
barbata	B3	3	4.0	32.0	28.0	1.2	0.9	7.0	8.0
barbata	B4	4	4.5	32.0	27.0	1.3	0.8	6.0	7.1
barbata	B5	5	6.0	30.0	30.0	1.0	1.0	5.0	5.0
barbata	B6	6	4.0	28.0	36.0	1.3	1.3	9.0	7.0
barbata	B7	7	6.5	31.0	25.0	1.6	0.8	3.8	4.8
barbata	B8	8	6.0	26.5	35.0	1.3	1.3	5.8	4.4
barbata	B9	9	5.0	29.0	33.0	1.5	1.1	6.6	5.8
barbata	B10	10	4.0	33.0	26.0	1.2	0.8	6.5	8.3
barbata	B11	11	3.5	36.0	21.0	1.8	0.6	6.0	10.3
barbata	B12	12	4.0	35.0	22.0	1.4	0.6	5.5	8.8
barbata	B13	13	8.5	27.0	29.0	1.3	1.1	3.4	3.2
barbata	B14	14	6.5	31.5	25.0	1.8	0.8	3.8	4.8
barbata	B15	15	5.0	32.0	26.0	0.9	0.8	5.2	6.4
barbata	B16	16	7.0	21.5	42.0	1.4	1.9	6.0	3.1
barbata	B17	17	5.0	28.0	34.0	0.9	1.2	6.8	5.6
barbata	B18	18	4.5	28.5	33.0	1.1	1.2	7.3	6.3
barbata	B19	19	4.5	28.5	35.0	0.9	1.2	7.8	6.3
barbata	B20	20	8.0	26.5	32.0	0.8	1.2	4.0	3.3
barbata	B21	21	7.0	22.0	42.0	1.0	1.9	6.0	3.1
barbata	B22	22	7.0	24.5	37.0	0.7	1.5	5.3	3.5
barbata	B23	23	5.0	31.5	27.0	1.7	0.9	5.4	6.3
barbata	B24	24	5.5	28.0	32.0	0.9	1.1	6.8	5.1
barbata	B25	25	6.0	27.5	33.0	0.8	1.2	5.5	4.6
barbata	B26	26	4.5	27.5	36.0	0.9	1.3	8.0	6.1
barbata	B27	27	5.0	21.5	46.0	1.3	2.1	9.2	4.3
barbata	B28	28	6.0	30.5	27.0	0.8	0.9	4.5	5.1
barbata	B29	29	7.5	15.5	55.0	1.1	3.5	7.3	2.1
barbata	B30	30	4.5	32.5	26.0	1.3	0.8	5.8	7.2
barbata	B31	31	4.0	32.5	27.0	1.0	0.8	6.8	8.1
