Species	ID	Individuals	BrancheDiam	Cortex	Medulle	AxeCentral	AxeMedulle	AxeCortex	MedulleCortex
barbata	B1	1	1.3	3.0	35.0	24.0	0.7	8.0	11.7
barbata	B2	2	1.5	4.6	29.0	33.0	1.1	7.2	6.3
barbata	B3	3	1.2	4.0	32.0	28.0	0.9	7.0	8.0
barbata	B4	4	1.3	4.5	32.0	27.0	0.8	6.0	7.1
barbata	B5	5	1.0	6.0	30.0	30.0	1.0	5.0	5.0
barbata	B6	6	1.3	4.0	28.0	36.0	1.3	9.0	7.0
barbata	B7	7	1.6	6.5	31.0	25.0	0.8	3.8	4.8
barbata	B8	8	1.3	6.0	26.5	35.0	1.3	5.8	4.4
barbata	B9	9	1.5	5.0	29.0	33.0	1.1	6.6	5.8
barbata	B10	10	1.2	4.0	33.0	26.0	0.8	6.5	8.3
barbata	B11	11	1.8	3.5	36.0	21.0	0.6	6.0	10.3
barbata	B12	12	1.4	4.0	35.0	22.0	0.6	5.5	8.8
barbata	B13	13	1.3	8.5	27.0	29.0	1.1	3.4	3.2
barbata	B14	14	1.8	6.5	31.5	25.0	0.8	3.8	4.8
barbata	B15	15	0.9	5.0	32.0	26.0	0.8	5.2	6.4
barbata	B16	16	1.4	7.0	21.5	42.0	1.9	6.0	3.1
barbata	B17	17	0.9	5.0	28.0	34.0	1.2	6.8	5.6
barbata	B18	18	1.1	4.5	28.5	33.0	1.2	7.3	6.3
barbata	B19	19	0.9	4.5	28.5	35.0	1.2	7.8	6.3
barbata	B20	20	0.8	8.0	26.5	32.0	1.2	4.0	3.3
barbata	B21	21	1.0	7.0	22.0	42.0	1.9	6.0	3.1
barbata	B22	22	0.7	7.0	24.5	37.0	1.5	5.3	3.5
barbata	B23	23	1.7	5.0	31.5	27.0	0.9	5.4	6.3
barbata	B24	24	0.9	5.5	28.0	32.0	1.1	6.8	5.1
barbata	B25	25	0.8	6.0	27.5	33.0	1.2	5.5	4.6
barbata	B26	26	0.9	4.5	27.5	36.0	1.3	8.0	6.1
barbata	B27	27	1.3	5.0	21.5	46.0	2.1	9.2	4.3
barbata	B28	28	0.8	6.0	30.5	27.0	0.9	4.5	5.1
barbata	B29	29	1.1	7.5	15.5	55.0	3.5	7.3	2.1
barbata	B30	30	1.3	4.5	32.5	26.0	0.8	5.8	7.2
barbata	B31	31	1.0	4.0	32.5	27.0	0.8	6.8	8.1
barbata	B32	32	1.3	5.0	30.0	30.0	1.0	6.0	6.0
barbata	B33	33	1.0	5.0	28.0	33.0	1.2	6.6	5.6
barbata	B34	34	1.1	6.0	33.0	22.0	0.7	3.7	5.5
barbata	B35	35	1.3	6.0	27.0	34.0	1.3	5.7	4.5
barbata	B36	36	0.8	9.0	22.0	38.0	1.8	4.2	2.4
barbata	B37	37	1.0	5.5	31.0	27.0	0.9	4.9	5.6
barbata	B38	38	0.8	6.5	26.5	34.0	1.3	5.2	4.1
barbata	B39	39	1.4	6.5	24.5	39.0	1.6	6.0	3.8
barbata	B40	40	1.0	5.5	33.0	23.0	0.7	4.2	6.0
barbata	B41	41	0.8	8.0	25.5	33.0	1.3	4.1	3.2
barbata	B42	42	0.9	4.0	35.5	21.0	0.6	5.3	8.9
barbata	B43	43	1.0	8.0	23.5	36.0	1.5	4.5	2.9
barbata	B44	44	1.8	5.5	31.0	28.0	0.9	5.1	5.6
barbata	B45	45	1.1	3.5	34.0	25.0	0.7	7.1	9.7
barbata	B46	46	1.2	7.0	26.5	33.0	1.3	4.7	3.8
barbata	B47	47	1.5	5.0	28.5	33.0	1.2	6.6	5.7
barbata	B48	48	0.5	6.5	26.5	34.0	1.3	5.2	4.1
barbata	B49	49	1.7	5.5	33.0	22.0	0.7	4.0	6.0
barbata	B50	50	1.4	6.0	31.0	26.0	0.8	4.3	5.2
barbata	B51	51	1.0	4.5	31.0	29.0	0.9	6.4	6.9
barbata	B52	52	1.3	5.5	31.5	26.0	0.8	4.7	5.7
barbata	B53	53	1.8	5.0	29.5	30.0	1.0	6.0	5.9
barbata	B54	54	1.0	6.0	32.0	24.0	0.7	4.0	5.3
barbata	B55	55	1.0	5.0	34.5	21.0	0.6	4.2	6.9
barbata	B56	56	0.9	5.0	26.5	37.0	1.4	7.4	5.3
barbata	B57	57	0.9	4.0	32.0	28.0	0.9	7.0	8.0
barbata	B58	58	1.6	5.5	32.5	25.0	0.8	4.5	5.9
barbata	B59	59	1.2	4.5	29.5	32.0	1.1	7.1	6.6
barbata	B60	60	1.2	5.0	32.0	26.0	0.8	5.2	6.4
barbata	B61	61	1.2	6.5	28.5	30.0	1.1	4.6	4.4
barbata	B62	62	1.0	6.0	30.0	28.0	0.9	4.7	5.0
barbata	B63	63	1.3	7.0	25.0	36.0	1.4	5.1	3.6
barbata	B64	64	1.6	4.5	30.0	31.0	1.0	6.9	6.7
barbata	B65	65	1.4	4.0	30.0	32.0	1.1	8.0	7.5
barbata	B66	66	1.3	6.5	27.0	33.0	1.2	5.1	4.2
barbata	B67	67	1.2	6.5	25.0	37.0	1.5	5.7	3.8
barbata	B68	68	1.7	4.5	25.0	41.0	1.6	9.1	5.6
barbata	B69	69	1.4	5.5	29.5	30.0	1.0	5.5	5.4
barbata	B70	70	1.6	5.0	31.5	27.0	0.9	5.4	6.3
barbata	B71	71	1.4	6.5	28.5	30.0	1.1	4.6	4.4
barbata	B72	72	1.3	5.0	29.5	32.0	1.1	6.4	5.9
barbata	B73	73	1.5	4.5	29.0	33.0	1.1	7.3	6.4
barbata	B74	74	1.4	6.5	33.0	21.0	0.6	3.2	5.1
barbata	B75	75	2.1	5.0	35.0	21.0	0.6	4.2	7.0
barbata	B76	76	1.8	2.0	32.5	30.0	0.9	15.0	16.3
barbata	B77	77	1.1	7.0	27.5	31.0	1.4	4.4	3.9
barbata	B78	78	1.3	6.0	31.0	26.0	0.8	4.3	5.2
barbata	B79	79	1.5	5.5	29.5	30.0	1.0	5.5	5.4
barbata	B80	80	1.4	4.5	30.0	31.0	1.0	6.9	6.7
barbata	B81	81	1.6	5.0	32.0	26.0	0.8	5.2	6.4
barbata	B82	82	1.3	6.0	30.5	27.0	0.9	4.5	5.1
barbata	B83	83	1.0	4.5	30.5	30.0	1.0	6.7	6.8
barbata	B84	84	1.0	5.5	18.5	52.0	2.8	9.5	3.4
barbata	B85	85	1.1	6.0	25.5	37.0	1.5	6.2	4.3
barbata	B86	86	0.8	5.5	25.4	38.0	1.5	6.9	4.6
barbata	B87	87	1.2	5.5	32.0	26.0	0.8	4.7	5.8
barbata	B88	88	1.2	5.5	27.5	34.0	1.3	6.2	5.0
barbata	B89	89	1.1	6.5	28.0	32.0	1.1	4.9	4.3
barbata	B90	90	1.7	5.0	31.0	28.0	0.9	5.6	6.2
barbata	B91	91	1.6	6.5	29.5	28.0	0.9	4.3	4.5
barbata	B92	92	1.2	6.0	27.5	34.0	1.2	5.7	4.6
barbata	B93	93	1.3	5.0	23.5	44.0	1.9	8.8	4.7
barbata	B94	94	1.0	5.5	29.0	30.0	1.0	5.5	5.3
barbata	B95	95	1.2	7.5	30.0	25.0	0.8	3.3	4.0
barbata	B96	96	0.9	6.5	27.5	32.0	1.2	4.9	4.2
barbata	B97	97	1.0	5.0	28.0	34.0	1.2	6.8	5.6
barbata	B98	98	1.1	6.5	30.5	26.0	0.9	4.0	4.7
barbata	B99	99	1.1	7.5	31.0	23.0	0.8	3.1	4.1
barbata	B100	100	1.9	8.5	30.5	23.0	0.7	2.7	3.6
barbata	B101	101	0.9	6.5	26.0	35.0	1.3	5.4	4.0
barbata	B102	102	0.8	6.5	27.0	33.0	1.2	5.1	4.2
barbata	B103	103	1.2	4.0	33.0	25.0	0.8	6.3	8.3
barbata	B104	104	1.8	4.5	36.0	19.0	1.8	4.2	8.0
barbata	B105	105	2.2	2.5	36.0	23.0	0.6	9.2	14.4
barbata	B106	106	1.7	5.0	36.5	17.0	0.5	3.4	7.3
barbata	B107	107	1.7	4.5	27.0	37.0	1.4	8.2	6.0
barbata	B108	108	0.9	4.5	31.0	29.0	0.9	6.4	6.9
barbata	B109	109	1.3	5.5	33.0	23.0	0.7	4.2	6.0
barbata	B110	110	0.6	5.5	21.5	46.0	2.1	8.4	3.9
barbata	B111	111	1.0	10.5	26.5	26.5	1.0	2.5	2.5
barbata	B112	112	1.1	7.0	31.5	23.0	0.7	3.3	4.5
dasopoga	D1	1	1.3	9.5	16.0	49.0	3.0	5.2	1.7
dasopoga	D2	2	1.2	9.5	18.5	44.0	2.4	4.6	1.9
dasopoga	D3	3	1.4	9.5	21.0	39.0	1.9	4.1	2.2
dasopoga	D4	4	1.1	9.0	17.5	47.0	2.7	5.2	1.9
dasopoga	D5	5	1.0	8.5	22.5	39.0	1.7	4.6	2.6
dasopoga	D6	6	1.1	7.5	21.5	42.0	2.0	5.6	2.9
dasopoga	D7	7	1.2	9.5	22.5	35.0	1.6	3.7	2.4
dasopoga	D8	8	1.4	10.0	23.0	34.0	1.5	3.4	2.3
dasopoga	D9	9	1.1	9.5	16.5	48.0	2.9	5.1	1.7
dasopoga	D10	10	1.4	13.5	15.0	43.0	2.9	3.2	1.1
dasopoga	D11	11	1.2	10.5	18.5	42.0	2.3	4.0	1.8
dasopoga	D12	12	1.0	11.0	13.0	52.0	4.0	4.7	1.2
dasopoga	D13	13	1.2	7.5	17.0	51.0	3.0	6.8	2.3
dasopoga	D14	14	1.3	11.0	17.0	45.0	2.6	4.1	1.5
dasopoga	D15	15	1.4	9.5	23.5	34.0	1.5	3.6	2.5
dasopoga	D16	16	1.2	10.5	14.5	50.0	3.4	4.8	1.4
dasopoga	D17	17	1.3	9.5	24.5	31.0	1.3	3.3	2.6
dasopoga	D18	18	1.4	9.5	15.5	50.0	3.2	5.3	1.6
dasopoga	D19	19	0.9	11.0	25.5	27.0	1.0	2.5	2.3
dasopoga	D20	20	1.4	10.0	20.0	40.0	2.0	4.0	2.0
dasopoga	D21	21	1.4	12.5	17.5	41.0	2.3	3.3	1.4
dasopoga	D22	22	1.1	10.5	17.0	45.0	2.7	4.3	1.6
dasopoga	D23	23	1.0	14.5	14.5	42.0	2.9	2.9	1.0
dasopoga	D24	24	1.7	11.5	21.0	36.0	1.7	3.1	1.8
dasopoga	D25	25	1.2	11.5	17.0	43.0	2.5	3.7	1.5
dasopoga	D26	26	1.3	10.5	16.5	47.0	2.9	4.5	1.6
dasopoga	D27	27	0.8	9.0	26.0	30.0	1.2	3.3	2.9
dasopoga	D28	28	1.4	10.5	16.0	47.0	3.0	4.5	1.5
dasopoga	D29	29	1.1	12.0	16.5	44.0	2.7	3.7	1.4
dasopoga	D30	30	1.0	10.0	20.0	40.0	2.0	4.0	2.0
dasopoga	D31	31	1.2	10.5	17.5	44.0	2.5	4.2	1.7
dasopoga	D32	32	1.3	10.5	15.5	48.0	3.2	4.6	1.5
dasopoga	D33	33	1.5	14.5	21.5	28.0	1.3	1.9	1.5
dasopoga	D34	34	1.3	11.5	12.5	52.0	4.1	4.5	1.1
dasopoga	D35	35	1.1	10.5	10.5	58.0	5.6	5.5	1.0
dasopoga	D36	36	0.9	9.0	18.0	45.0	2.5	5.0	2.0
dasopoga	D37	37	0.9	10.5	9.5	60.0	6.5	5.7	0.9
dasopoga	D38	38	0.9	6.5	16.5	54.0	3.3	8.3	2.5
dasopoga	D39	39	1.1	12.5	14.5	46.0	3.3	3.7	1.2
dasopoga	D40	40	0.5	15.5	10.5	48.0	4.6	3.1	0.7
dasopoga	D41	41	0.5	15.0	11.0	48.0	4.3	3.2	0.7
dasopoga	D42	42	1.4	12.0	14.0	49.0	3.5	4.1	1.2
dasopoga	D43	43	0.8	13.0	9.5	55.0	5.8	4.2	0.7
dasopoga	D44	44	1.0	10.0	15.5	49.0	3.2	4.9	1.6
dasopoga	D45	45	1.1	8.5	22.5	38.0	1.7	4.5	2.6
dasopoga	D46	46	0.8	10.0	25.0	30.0	1.2	3.0	2.5
dasopoga	D47	47	1.1	12.0	16.5	44.0	2.7	3.7	1.4
dasopoga	D48	48	1.0	9.0	24.0	34.0	1.4	3.8	2.7
dasopoga	D49	49	1.0	9.5	18.5	43.0	2.3	4.5	1.9
dasopoga	D50	50	1.0	10.0	23.5	34.0	1.4	3.4	2.4
dasopoga	D51	51	0.7	10.0	23.0	33.0	1.4	3.3	2.3
dasopoga	D52	52	1.1	12.0	15.5	45.0	2.9	3.8	1.3
dasopoga	D53	53	1.0	8.5	20.5	41.0	2.0	4.8	2.4
dasopoga	D54	54	0.8	9.0	10.0	62.0	6.2	6.9	1.1
dasopoga	D55	55	1.1	7.0	7.0	71.0	9.9	10.1	1.0
dasopoga	D56	56	1.8	9.5	12.0	57.0	4.7	6.0	1.3
dasopoga	D57	57	1.4	10.0	22.5	35.0	1.5	3.5	2.3
dasopoga	D58	58	1.4	11.5	15.0	47.0	3.2	4.1	1.3
dasopoga	D59	59	1.1	10.0	19.0	42.0	2.2	4.2	1.9
dasopoga	D60	60	1.2	8.5	19.5	43.0	2.2	5.1	2.3
dasopoga	D61	61	0.9	9.5	17.0	47.0	2.8	4.9	1.8
dasopoga	D62	62	0.9	10.0	21.5	37.0	1.7	3.7	2.2
dasopoga	D63	63	1.4	10.5	22.5	34.0	1.5	3.2	2.1
dasopoga	D64	64	1.1	9.5	19.0	43.0	2.3	4.5	2.0
dasopoga	D65	65	1.2	10.0	12.0	56.0	4.7	5.6	1.2
dasopoga	D66	66	1.1	9.5	19.0	44.0	2.4	4.6	2.0
dasopoga	D67	67	1.1	12.5	9.0	58.0	6.5	4.6	0.7
dasopoga	D68	68	0.8	12.5	22.0	31.0	1.4	2.5	1.8
dasopoga	D69	69	0.9	8.5	19.5	43.0	2.2	5.1	2.3
dasopoga	D70	70	1.0	9.0	22.5	37.5	1.7	4.2	2.5
dasopoga	D71	71	1.2	7.0	22.5	41.0	1.8	5.9	3.2
dasopoga	D72	72	1.2	10.5	17.5	44.0	2.5	4.2	1.7
dasopoga	D73	73	1.3	11.0	20.5	37.0	1.8	3.4	1.9
dasopoga	D74	74	1.5	7.5	24.0	37.0	1.5	4.9	3.2
dasopoga	D75	75	1.1	9.0	19.0	44.0	2.4	4.9	2.1
dasopoga	D76	76	0.8	8.0	22.0	41.0	1.9	5.1	2.8
